Index   V(VIN_COMMON)         V(VQ)            V(VQB)      
146      2.92000000e-01    1.83220415e-01    1.76489675e-03
147      2.94000000e-01    1.81402651e-01    1.60123710e-03
148      2.96000000e-01    1.79614604e-01    1.45328159e-03
149      2.98000000e-01    1.77853229e-01    1.31945371e-03
150      3.00000000e-01    1.76115831e-01    1.19834627e-03
151      3.02000000e-01    1.74400024e-01    1.08870125e-03
152      3.04000000e-01    1.72703689e-01    9.89392458e-04
153      3.06000000e-01    1.71024945e-01    8.99410475e-04
154      3.08000000e-01    1.69362113e-01    8.17849505e-04
155      3.10000000e-01    1.67713698e-01    7.43895919e-04
156      3.12000000e-01    1.66078364e-01    6.76818187e-04
157      3.14000000e-01    1.64454921e-01    6.15958046e-04
158      3.16000000e-01    1.62842303e-01    5.60722697e-04
159      3.18000000e-01    1.61239561e-01    5.10577923e-04
160      3.20000000e-01    1.59645849e-01    4.65041988e-04
161      3.22000000e-01    1.58060412e-01    4.23680226e-04
162      3.24000000e-01    1.56482583e-01    3.86100226e-04
163      3.26000000e-01    1.54911770e-01    3.51947547e-04
164      3.28000000e-01    1.53347454e-01    3.20901900e-04
165      3.30000000e-01    1.51789181e-01    2.92673730e-04
166      3.32000000e-01    1.50236448e-01    2.67001161e-04
167      3.34000000e-01    1.48688717e-01    2.43647268e-04
168      3.36000000e-01    1.47145706e-01    2.22397620e-04
169      3.38000000e-01    1.45607190e-01    2.03058084e-04
170      3.40000000e-01    1.44072996e-01    1.85452851e-04
171      3.42000000e-01    1.42542998e-01    1.69422656e-04
172      3.44000000e-01    1.41017117e-01    1.54823185e-04
173      3.46000000e-01    1.39495325e-01    1.41523638e-04
174      3.48000000e-01    1.37977638e-01    1.29405432e-04
175      3.50000000e-01    1.36464277e-01    1.18361458e-04
176      3.52000000e-01    1.34955715e-01    1.08295022e-04
177      3.54000000e-01    1.33452131e-01    9.91173150e-05
178      3.56000000e-01    1.31953741e-01    9.07477381e-05
179      3.58000000e-01    1.30460813e-01    8.31131711e-05
180      3.60000000e-01    1.28973674e-01    7.61472634e-05
181      3.62000000e-01    1.27492711e-01    6.97897941e-05
182      3.64000000e-01    1.26018370e-01    6.39860935e-05
183      3.66000000e-01    1.24551165e-01    5.86865209e-05
184      3.68000000e-01    1.23091674e-01    5.38459920e-05
185      3.70000000e-01    1.21640547e-01    4.94235520e-05
186      3.72000000e-01    1.20198505e-01    4.53819900e-05
187      3.74000000e-01    1.18766338e-01    4.16874887e-05
188      3.76000000e-01    1.17344911e-01    3.83093092e-05
189      3.78000000e-01    1.15935157e-01    3.52195046e-05
190      3.80000000e-01    1.14538076e-01    3.23926609e-05
191      3.82000000e-01    1.13154731e-01    2.98056627e-05
192      3.84000000e-01    1.11786234e-01    2.74374808e-05
193      3.86000000e-01    1.10433746e-01    2.52689796e-05
194      3.88000000e-01    1.09098452e-01    2.32827431e-05
195      3.90000000e-01    1.07781557e-01    2.14629168e-05
196      3.92000000e-01    1.06484261e-01    1.97950646e-05
197      3.94000000e-01    1.05207745e-01    1.82660387e-05
198      3.96000000e-01    1.03953147e-01    1.68638624e-05
199      3.98000000e-01    1.02721546e-01    1.55776229e-05
200      4.00000000e-01    1.01513941e-01    1.43973748e-05
201      4.02000000e-01    1.00331231e-01    1.33140521e-05
202      4.04000000e-01    9.91742083e-02    1.23193885e-05
203      4.06000000e-01    9.80435377e-02    1.14058453e-05
204      4.08000000e-01    9.69397549e-02    1.05665454e-05
205      4.10000000e-01    9.58632606e-02    9.79521381e-06
206      4.12000000e-01    9.48143206e-02    9.08612377e-06
207      4.14000000e-01    9.37930691e-02    8.43404727e-06
208      4.16000000e-01    9.27995156e-02    7.83421059e-06
209      4.18000000e-01    9.18335535e-02    7.28225367e-06
210      4.20000000e-01    9.08949704e-02    6.77419328e-06
211      4.22000000e-01    8.99834599e-02    6.30638950e-06
212      4.24000000e-01    8.90986339e-02    5.87551531e-06
213      4.26000000e-01    8.82400345e-02    5.47852885e-06
214      4.28000000e-01    8.74071456e-02    5.11264829e-06
215      4.30000000e-01    8.65994045e-02    4.77532894e-06
216      4.32000000e-01    8.58162115e-02    4.46424238e-06
217      4.34000000e-01    8.50569391e-02    4.17725752e-06
218      4.36000000e-01    8.43209406e-02    3.91242337e-06
219      4.38000000e-01    8.36075567e-02    3.66795334e-06
220      4.40000000e-01    8.29161219e-02    3.44221091e-06
221      4.42000000e-01    8.22459691e-02    3.23369664e-06
222      4.44000000e-01    8.15964348e-02    3.04103630e-06
223      4.46000000e-01    8.09668618e-02    2.86297007e-06
224      4.48000000e-01    8.03566025e-02    2.69834270e-06
225      4.50000000e-01    7.97650210e-02    2.54609450e-06
226      4.52000000e-01    7.91914950e-02    2.40525321e-06
227      4.54000000e-01    7.86354173e-02    2.27492651e-06
228      4.56000000e-01    7.80961964e-02    2.15429520e-06
229      4.58000000e-01    7.75732575e-02    2.04260701e-06
230      4.60000000e-01    7.70660429e-02    1.93917094e-06
231      4.62000000e-01    7.65740121e-02    1.84335207e-06
232      4.64000000e-01    7.60966420e-02    1.75456684e-06
233      4.66000000e-01    7.56334270e-02    1.67227877e-06
234      4.68000000e-01    7.51838785e-02    1.59599445e-06
235      4.70000000e-01    7.47475248e-02    1.52526002e-06
236      4.72000000e-01    7.43239107e-02    1.45965784e-06
237      4.74000000e-01    7.39125974e-02    1.39880348e-06
238      4.76000000e-01    7.35131618e-02    1.34234299e-06
239      4.78000000e-01    7.31251960e-02    1.28995038e-06
240      4.80000000e-01    7.27483074e-02    1.24132531e-06
241      4.82000000e-01    7.23821173e-02    1.19619103e-06
242      4.84000000e-01    7.20262614e-02    1.15429237e-06
243      4.86000000e-01    7.16803887e-02    1.11539408e-06
244      4.88000000e-01    7.13441612e-02    1.07927913e-06
245      4.90000000e-01    7.10172535e-02    1.04574728e-06
246      4.92000000e-01    7.06993523e-02    1.01461373e-06
247      4.94000000e-01    7.03901560e-02    9.85707848e-07
248      4.96000000e-01    7.00893740e-02    9.58872044e-07
249      4.98000000e-01    6.97967267e-02    9.33960748e-07
250      5.00000000e-01    6.95119449e-02    9.10839432e-07
251      0.00000000e+00    4.99995565e-01    4.99997761e-01
252      2.00000000e-03    4.99995355e-01    4.99997555e-01
253      4.00000000e-03    4.99995131e-01    4.99997568e-01
254      6.00000000e-03    4.99994892e-01    4.99997580e-01
255      8.00000000e-03    4.99994638e-01    4.99997592e-01
256      1.00000000e-02    4.99994367e-01    4.99997604e-01
257      1.20000000e-02    4.99994079e-01    4.99997616e-01
258      1.40000000e-02    4.99993771e-01    4.99997627e-01
259      1.60000000e-02    4.99993443e-01    4.99997639e-01
260      1.80000000e-02    4.99993093e-01    4.99997650e-01
261      2.00000000e-02    4.99992720e-01    4.99997662e-01
262      2.20000000e-02    4.99992322e-01    4.99997673e-01
263      2.40000000e-02    4.99991897e-01    4.99997684e-01
264      2.60000000e-02    4.99991443e-01    4.99997695e-01
265      2.80000000e-02    4.99990958e-01    4.99997706e-01
266      3.00000000e-02    4.99990441e-01    4.99997717e-01
267      3.20000000e-02    4.99989888e-01    4.99997728e-01
268      3.40000000e-02    4.99989298e-01    4.99997739e-01
269      3.60000000e-02    4.99988666e-01    4.99997749e-01
270      3.80000000e-02    4.99987991e-01    4.99997760e-01
271      4.00000000e-02    4.99987269e-01    4.99997770e-01
272      4.20000000e-02    4.99986497e-01    4.99997780e-01
273      4.40000000e-02    4.99985670e-01    4.99997791e-01
274      4.60000000e-02    4.99984785e-01    4.99997801e-01
275      4.80000000e-02    4.99983838e-01    4.99997811e-01
276      5.00000000e-02    4.99982823e-01    4.99997821e-01
277      5.20000000e-02    4.99981736e-01    4.99997831e-01
278      5.40000000e-02    4.99980571e-01    4.99997841e-01
279      5.60000000e-02    4.99979322e-01    4.99997850e-01
280      5.80000000e-02    4.99977982e-01    4.99997860e-01
281      6.00000000e-02    4.99976545e-01    4.99997869e-01
282      6.20000000e-02    4.99975002e-01    4.99997879e-01
283      6.40000000e-02    4.99973346e-01    4.99997888e-01
284      6.60000000e-02    4.99971568e-01    4.99997897e-01
285      6.80000000e-02    4.99969657e-01    4.99997906e-01
286      7.00000000e-02    4.99967604e-01    4.99997915e-01
287      7.20000000e-02    4.99965397e-01    4.99997923e-01
288      7.40000000e-02    4.99963024e-01    4.99997931e-01
289      7.60000000e-02    4.99960471e-01    4.99997939e-01
290      7.80000000e-02    4.99957723e-01    4.99997947e-01
291      8.00000000e-02    4.99954764e-01    4.99997954e-01
292      8.20000000e-02    4.99951579e-01    4.99997961e-01
293      8.40000000e-02    4.99948146e-01    4.99997968e-01
294      8.60000000e-02    4.99944447e-01    4.99997974e-01
295      8.80000000e-02    4.99940458e-01    4.99997980e-01
296      9.00000000e-02    4.99936156e-01    4.99997985e-01
297      9.20000000e-02    4.99931515e-01    4.99997990e-01
298      9.40000000e-02    4.99926505e-01    4.99997994e-01
299      9.60000000e-02    4.99921095e-01    4.99997997e-01
300      9.80000000e-02    4.99915251e-01    4.99998000e-01
301      1.00000000e-01    4.99908936e-01    4.99998001e-01
302      1.02000000e-01    4.99902109e-01    4.99998002e-01
