Index       TIME             V(Q7_3)          V(QB7_3)          V(VX7_3)           V(WL7)            V(WWLA)           V(WWLB)           V(SEL0)           V(SEL1)           V(BL3)           V(SA_IN1)          V(SAE)           V(SA_Q1)          V(SA_QB1)          V(Q7_3)           V(BL3)           V(SA_Q1)     
63       6.30000000e-10    6.78164742e-06    5.99998975e-01    5.99002792e-01    4.90188597e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.97017423e-01    5.99933495e-01    0.00000000e+00    5.99933521e-01    4.99998971e-01    6.78164742e-06    5.97017423e-01    5.99933521e-01
64       6.40000000e-10    6.82578200e-06    5.99998974e-01    5.98986977e-01    4.46045495e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.97315267e-01    5.99932897e-01    0.00000000e+00    5.99932920e-01    4.99998972e-01    6.82578200e-06    5.97315267e-01    5.99932920e-01
65       6.50000000e-10    6.86991657e-06    5.99998974e-01    5.98971162e-01    4.01902392e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.97613112e-01    5.99932299e-01    0.00000000e+00    5.99932320e-01    4.99998973e-01    6.86991657e-06    5.97613112e-01    5.99932320e-01
66       6.60000000e-10    6.91405114e-06    5.99998973e-01    5.98955347e-01    3.57759289e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.97910956e-01    5.99931701e-01    0.00000000e+00    5.99931719e-01    4.99998973e-01    6.91405114e-06    5.97910956e-01    5.99931719e-01
67       6.70000000e-10    6.95818572e-06    5.99998972e-01    5.98939532e-01    3.13616186e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.98208801e-01    5.99931104e-01    0.00000000e+00    5.99931119e-01    4.99998974e-01    6.95818572e-06    5.98208801e-01    5.99931119e-01
68       6.80000000e-10    7.00232029e-06    5.99998972e-01    5.98923717e-01    2.69473083e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.98506645e-01    5.99930506e-01    0.00000000e+00    5.99930518e-01    4.99998975e-01    7.00232029e-06    5.98506645e-01    5.99930518e-01
69       6.90000000e-10    7.04645487e-06    5.99998971e-01    5.98907902e-01    2.25329980e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.98804489e-01    5.99929908e-01    0.00000000e+00    5.99929917e-01    4.99998976e-01    7.04645487e-06    5.98804489e-01    5.99929917e-01
70       7.00000000e-10    7.06978101e-06    5.99998970e-01    5.98892088e-01    2.02269140e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.98959818e-01    5.99929326e-01    0.00000000e+00    5.99929334e-01    4.99998977e-01    7.06978101e-06    5.98959818e-01    5.99929334e-01
71       7.10000000e-10    7.08169293e-06    5.99998970e-01    5.98876274e-01    1.90772731e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.99036971e-01    5.99928752e-01    0.00000000e+00    5.99928759e-01    4.99998977e-01    7.08169293e-06    5.99036971e-01    5.99928759e-01
72       7.20000000e-10    7.09360485e-06    5.99998970e-01    5.98860459e-01    1.79276323e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.99114124e-01    5.99928178e-01    0.00000000e+00    5.99928185e-01    4.99998977e-01    7.09360485e-06    5.99114124e-01    5.99928185e-01
73       7.30000000e-10    7.10551676e-06    5.99998970e-01    5.98844645e-01    1.67779914e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.99191277e-01    5.99927604e-01    0.00000000e+00    5.99927610e-01    4.99998977e-01    7.10551676e-06    5.99191277e-01    5.99927610e-01
74       7.40000000e-10    7.11742868e-06    5.99998970e-01    5.98828831e-01    1.56283505e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.99268430e-01    5.99927031e-01    0.00000000e+00    5.99927036e-01    4.99998978e-01    7.11742868e-06    5.99268430e-01    5.99927036e-01
75       7.50000000e-10    7.12934060e-06    5.99998969e-01    5.98813017e-01    1.44787096e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.99345583e-01    5.99926457e-01    0.00000000e+00    5.99926461e-01    4.99998978e-01    7.12934060e-06    5.99345583e-01    5.99926461e-01
76       7.60000000e-10    7.14125252e-06    5.99998969e-01    5.98797203e-01    1.33290688e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.99422736e-01    5.99925883e-01    0.00000000e+00    5.99925887e-01    4.99998978e-01    7.14125252e-06    5.99422736e-01    5.99925887e-01
77       7.70000000e-10    7.15316444e-06    5.99998969e-01    5.98781389e-01    1.21794279e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.99499889e-01    5.99925309e-01    0.00000000e+00    5.99925312e-01    4.99998978e-01    7.15316444e-06    5.99499889e-01    5.99925312e-01
78       7.80000000e-10    7.16507636e-06    5.99998969e-01    5.98765575e-01    1.10297870e-05    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.99577042e-01    5.99924735e-01    0.00000000e+00    5.99924738e-01    4.99998979e-01    7.16507636e-06    5.99577042e-01    5.99924738e-01
79       7.90000000e-10    7.17698828e-06    5.99998968e-01    5.98749761e-01    9.88014614e-06    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.99654195e-01    5.99924162e-01    0.00000000e+00    5.99924163e-01    4.99998979e-01    7.17698828e-06    5.99654195e-01    5.99924163e-01
80       8.00000000e-10    7.18890020e-06    5.99998968e-01    5.98733947e-01    8.73050527e-06    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.99731348e-01    5.99923588e-01    0.00000000e+00    5.99923589e-01    4.99998979e-01    7.18890020e-06    5.99731348e-01    5.99923589e-01
81       8.10000000e-10    7.20081211e-06    5.99998968e-01    5.98718133e-01    7.58086439e-06    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.99808501e-01    5.99923014e-01    0.00000000e+00    5.99923014e-01    4.99998980e-01    7.20081211e-06    5.99808501e-01    5.99923014e-01
82       8.20000000e-10    7.21272403e-06    5.99998968e-01    5.98702318e-01    6.43122351e-06    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.99885654e-01    5.99922440e-01    0.00000000e+00    5.99922440e-01    4.99998980e-01    7.21272403e-06    5.99885654e-01    5.99922440e-01
83       8.30000000e-10    7.22463595e-06    5.99998968e-01    5.98686504e-01    5.28158264e-06    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.99962807e-01    5.99921866e-01    0.00000000e+00    5.99921865e-01    4.99998980e-01    7.22463595e-06    5.99962807e-01    5.99921865e-01
84       8.40000000e-10    7.22839080e-06    5.99998968e-01    5.98670696e-01    4.91397656e-06    0.00000000e+00    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.99987270e-01    5.99921299e-01    0.00000000e+00    5.99921298e-01    4.99998980e-01    7.22839080e-06    5.99987270e-01    5.99921298e-01
