Index       V(NQ)            V(NQB)      
239      3.72973939e-01    1.94973939e-01
240      3.73866036e-01    1.93866036e-01
241      3.74756857e-01    1.92756857e-01
242      3.75646369e-01    1.91646369e-01
243      3.76534535e-01    1.90534535e-01
244      3.77421320e-01    1.89421320e-01
245      3.78306701e-01    1.88306701e-01
246      3.79190661e-01    1.87190661e-01
247      3.80073159e-01    1.86073159e-01
248      3.80954155e-01    1.84954155e-01
249      3.81833606e-01    1.83833606e-01
250      3.82711468e-01    1.82711468e-01
251      3.83587698e-01    1.81587698e-01
252      3.84462249e-01    1.80462249e-01
253      3.85335073e-01    1.79335073e-01
254      3.86206122e-01    1.78206122e-01
255      3.87075343e-01    1.77075343e-01
256      3.87942685e-01    1.75942685e-01
257      3.88808094e-01    1.74808094e-01
258      3.89671514e-01    1.73671514e-01
259      3.90532888e-01    1.72532888e-01
260      3.91392155e-01    1.71392155e-01
261      3.92249256e-01    1.70249256e-01
262      3.93104127e-01    1.69104127e-01
263      3.93956704e-01    1.67956704e-01
264      3.94806919e-01    1.66806919e-01
265      3.95654706e-01    1.65654706e-01
266      3.96499993e-01    1.64499993e-01
267      3.97342708e-01    1.63342708e-01
268      3.98182780e-01    1.62182780e-01
269      3.99020132e-01    1.61020132e-01
270      3.99854689e-01    1.59854689e-01
271      4.00686373e-01    1.58686373e-01
272      4.01515104e-01    1.57515104e-01
273      4.02340805e-01    1.56340805e-01
274      4.03163394e-01    1.55163394e-01
275      4.03982791e-01    1.53982791e-01
276      4.04798914e-01    1.52798914e-01
277      4.05611684e-01    1.51611684e-01
278      4.06421021e-01    1.50421021e-01
279      4.07226845e-01    1.49226845e-01
280      4.08029078e-01    1.48029078e-01
281      4.08827645e-01    1.46827645e-01
282      4.09622473e-01    1.45622473e-01
283      4.10413491e-01    1.44413491e-01
284      4.11200632e-01    1.43200632e-01
285      4.11983833e-01    1.41983833e-01
286      4.12763037e-01    1.40763037e-01
287      4.13538191e-01    1.39538191e-01
288      4.14309249e-01    1.38309249e-01
289      4.15076170e-01    1.37076170e-01
290      4.15838924e-01    1.35838924e-01
291      4.16597486e-01    1.34597486e-01
292      4.17351843e-01    1.33351843e-01
293      4.18101989e-01    1.32101989e-01
294      4.18847931e-01    1.30847931e-01
295      4.19589687e-01    1.29589687e-01
296      4.20327286e-01    1.28327286e-01
297      4.21060771e-01    1.27060771e-01
298      4.21790198e-01    1.25790198e-01
299      4.22515640e-01    1.24515640e-01
300      4.23237181e-01    1.23237181e-01
End of Xyce(TM) Simulation
